NIS;Provincia;Tipo;Departamento;Dirección;Nombre normalizado;IPv4;Anotaciones;
I1913;C;Server;TELEG CDD 12 BAIRES CF;AV PUEYRREDON 1352;C118ZABU0001;10.30.88.170;;
I1916;C;Server;TELEG CF - CDD 16;AV SAN MARTIN 2710;I1916STM001;10.30.75.170;;
I1916;C;Impresora;TELEG CF - CDD 16;AV SAN MARTIN 2710;No aplica;10.30.75.171;;
I1922;C;Server;TELEG CF - CDD 23;AV SAN JUAN 3001;I1922STM001;10.30.23.170;;
I1922;C;Impresora;TELEG CF - CDD 23;AV SAN JUAN 3001;No aplica;10.30.23.172;;
I1923;C;Server;TELEG CF - SUC24;AV SAN JUAN 1349;I1923STM001;10.30.98.170;;
I1929;C;Server;TELEG BS AS - CDD 30;AV MONROE 3390;C1430ZAAU0001;10.30.105.170;;
I1929;C;Impresora;TELEG BS AS - CDD 30;AV MONROE 3390;No aplica;10.30.105.171;;
I1935;B;Server;TELEG BS AS - SUC 37;AV DEL BARCO CENTENERA 2933 ESQUINA CORRALES;I1935STM001;10.30.112.170;;
I1938;C;Server;TELEG BS AS - CDD 40;AV JUAN B ALBERDI 5924;C1440ZAAU0001;10.30.74.170;;
I1938;C;Impresora;TELEG BS AS - CDD 40;AV JUAN B ALBERDI 5924;No aplica;10.30.74.171;Sin conexión;
I1963;K;Server;TELEG CATAMARCA - SANTA MARIA;DR T DE LA QUINTANA 10;I1963STM001;10.100.67.170;;
I1963;K;Impresora;TELEG CATAMARCA - SANTA MARIA;DR T DE LA QUINTANA 10;No aplica;10.100.67.180;;
I1967;K;Server;TELEG CATAMARCA 1;SAN MARTIN 761;I1967STM001;10.100.66.30;;
I2003;H;Server;TELEG CHACO - RESISTENCIA;AV SARMIENTO 102;I2003STM001;10.80.66.170;;
I2003;H;Impresora;TELEG CHACO - RESISTENCIA;AV SARMIENTO 102;No aplica;10.80.66.180;;
I2019;H;Server;TELEG CHACO - VILLA ANGELA;1 DE MAYO 199;H3540ZAAU0002;10.80.68.170;;
I2019;H;Impresora;TELEG CHACO - VILLA ANGELA;1 DE MAYO 199;No aplica;10.80.68.171;;
I2020;H;Server;TELEG CHACO - ROQUE SAENZ PEÑA;BELGRANO DOCTOR MANUEL 601;I2020STM001;10.80.67.170;;
I2031;U;Server;TELEG CHUBUT - COMODORO RIVADAVIA;SAN MARTIN 180;I2031STM001;10.190.66.170;Ref: SD0273923. La PC se encuentra averiada y necesita de la asistencia de un técnico. Se realizó un desvío telegráfico.;
I2031;U;Impresora;TELEG CHUBUT - COMODORO RIVADAVIA;SAN MARTIN 180;No aplica;10.190.66.173;;
I2031;U;Impresora;TELEG CHUBUT - COMODORO RIVADAVIA;SAN MARTIN 180;No aplica;10.190.66.174;;
I2041;U;Server;TELEG CHUBUT - SARMIENTO;AV ING CORONEL 307;I2041STM001;10.190.67.170;;
I2045;U;Server;TELEG CHUBUT - TRELEW;BME MITRE 315;I2045STM001;10.191.66.170;;
I2045;U;Impresora;TELEG CHUBUT - TRELEW;BME MITRE 315;No aplica;10.191.66.171;;
