name,category,icon,tone
T&T- Alta de cola de impresion,Aplicaciones,puzzle,bg-violet-300
T&T- Alta de Nuevo Puesto SOP,Aplicaciones,puzzle,bg-violet-300
T&T- Consulta,Aplicaciones,puzzle,bg-violet-300
T&T- Demoras en el HOST,Aplicaciones,puzzle,bg-violet-300
T&T- Demoras TTSPROD,Aplicaciones,puzzle,bg-violet-300
T&T- Desarchivo de pieza,Aplicaciones,puzzle,bg-violet-300
T&T- Desbloquear usuario de Host,Aplicaciones,puzzle,bg-violet-300
T&T- HOST en Mantenimiento,Aplicaciones,puzzle,bg-violet-300
T&T- Modificacion de Evento,Aplicaciones,puzzle,bg-violet-300
T&T- No hay conexión con el servidor,Aplicaciones,puzzle,bg-violet-300
T&T- No impacta piezas en HOST,Aplicaciones,puzzle,bg-violet-300
T&T- No impacta Tareas D1,Aplicaciones,puzzle,bg-violet-300
T&T- No impacta piezas en Backend,Aplicaciones,puzzle,bg-violet-300
T&T- No Imprime Planilla D1,Aplicaciones,puzzle,bg-violet-300
T&T- Parametrizar Terminal,Aplicaciones,puzzle,bg-violet-300
T&T- Perdida de escaneos,Aplicaciones,puzzle,bg-violet-300
T&T- Rehabilitar cola de impresión,Aplicaciones,puzzle,bg-violet-300
TV Mediterranea- No da imagen,Externos,arrow-out-up-right-square,bg-pink-300
TV Mediterranea- No enciende,Externos,arrow-out-up-right-square,bg-pink-300
TV Mediterranea- No Carga Sistema de Turno,Externos,arrow-out-up-right-square,bg-pink-300
TV Mediterranea- No se visualiza Turno,Externos,arrow-out-up-right-square,bg-pink-300
TV Mediterranea- Se apaga solo,Externos,arrow-out-up-right-square,bg-pink-300
TV Mediterranea- Reubicación de equipo,Externos,arrow-out-up-right-square,bg-pink-300
Ubuntu- Desbloqueo de teclado numérico,Aplicaciones,puzzle,bg-violet-300
UER- Consulta de uso,Aplicaciones,puzzle,bg-violet-300
UER- Error de tablas,Aplicaciones,puzzle,bg-violet-300
UER- Error en parametria,Aplicaciones,puzzle,bg-violet-300
Vencimiento de envíos- Pieza no encontrada,Aplicaciones,puzzle,bg-violet-300
VPN- Error de autenticacion,Aplicaciones,puzzle,bg-violet-300
VPN- Error de conexión,Aplicaciones,puzzle,bg-violet-300
VPN- Microcortes,Aplicaciones,puzzle,bg-violet-300
Share- Acceso a carpeta compartida,Aplicaciones,puzzle,bg-violet-300
Share- Permisos de acceso,Aplicaciones,puzzle,bg-violet-300
Share- Solicitud de alta de usuario,Aplicaciones,puzzle,bg-violet-300
Share- Solicitud de baja de usuario,Aplicaciones,puzzle,bg-violet-300
Share- Modificación de permisos,Aplicaciones,puzzle,bg-violet-300
W10- Activacion de producto,Aplicaciones,puzzle,bg-violet-300
W10- Bitloker,Aplicaciones,puzzle,bg-violet-300
W10- Blue Screen,Aplicaciones,puzzle,bg-violet-300
W10- Cambio de clave,Aplicaciones,puzzle,bg-violet-300
W10- Conexion a escritorio remoto,Aplicaciones,puzzle,bg-violet-300
W10- Configuración - Escaneos,Aplicaciones,puzzle,bg-violet-300
W10- Configuracion de impresora a terminal,Aplicaciones,puzzle,bg-violet-300
W10- Habilitacion de protocolo SMB1,Aplicaciones,puzzle,bg-violet-300
W10- Instalación de aplicaciones,Aplicaciones,puzzle,bg-violet-300
W10- Nombre normalizado,Aplicaciones,puzzle,bg-violet-300
W10- Terminal fuera de dominio,Aplicaciones,puzzle,bg-violet-300
WEB- Consulta,Aplicaciones,puzzle,bg-violet-300
WEB- Error 404,Aplicaciones,puzzle,bg-violet-300
WEB- Error 504,Aplicaciones,puzzle,bg-violet-300
WEB- La conexión no es privada,Aplicaciones,puzzle,bg-violet-300
WEB- No se puede acceder al sitio web,Aplicaciones,puzzle,bg-violet-300
WISE- Acceso,Aplicaciones,puzzle,bg-violet-300
WMS- Contenedor inexistente,Aplicaciones,puzzle,bg-violet-300
WMS- Demoras,Aplicaciones,puzzle,bg-violet-300
WMS- Error al imprimir comprobante,Aplicaciones,puzzle,bg-violet-300
WMS- Error de stock,Aplicaciones,puzzle,bg-violet-300
WMS- Lentitud,Aplicaciones,puzzle,bg-violet-300
WMS- Limpieza de líneas,Aplicaciones,puzzle,bg-violet-300
WMS- No general OT,Aplicaciones,puzzle,bg-violet-300
WPS- Configuración de aplicación,Aplicaciones,puzzle,bg-violet-300
WPS- Consulta de uso,Aplicaciones,puzzle,bg-violet-300
WPS- Instalación,Aplicaciones,puzzle,bg-violet-300
WUI- Error de comunicación,Aplicaciones,puzzle,bg-violet-300
WUI- Falla en la transmision,Aplicaciones,puzzle,bg-violet-300
WUI- Terminal no dada de alta,Aplicaciones,puzzle,bg-violet-300
